id,url,title_korean,title_japanese,title_english,format,status,year,quarter,start_date,end_date,total_episodes,duration,genres,tags,synopsis,num_characters,main_characters,director,studio,original_work,error
130,https://anilife.app/content/130?tab=info,Thunderbolt Fantasy 동리검유기 3기,Thunderbolt Fantasy 東離劍遊紀3,Thunderbolt Fantasy: Touriken Yuuki 3,,,,,,,,,액션|드라마|판타지,인형극|악마|검술|마법|주로 어른 캐스트|수양|무협|시간 조작|안티 히어로|고어|정치|얀데레|장애|역사|이세계,등록된 줄거리가 없습니다.,6,린 쉐야(토리우미 코스케)|샹 부환(스와부 준이치)|랑 우야오(니시카와 타카노리)|링야(코니시 코키)|단 페이(나카하라 마이),,"필리 인터내셔널 멀티미디어, 애니플렉스, 니트로플러스, 굿 스마일 컴퍼니",,
128,https://anilife.app/content/128?tab=info,듀얼 마스터즈 킹,DUEL MASTERS キング!,DUEL MASTERS King!,,,,,,,,,액션|모험|코미디,카드 전투|어린이,등록된 줄거리가 없습니다.,6,데키(사토 세츠지)|키리후다 조(코바야시 유미코)|타소가레 미미()|코쿠죠우 쿄우시로우()|볼츠(시라이시 미노루),이시오도리 히로시,"브레인즈 베이스, 쇼가쿠칸 음악 & 디지털 엔터테인먼트",마츠모토 시게노부,
132,https://anilife.app/content/132?tab=info,RE-MAIN,RE-MAIN（リメイン）,RE-MAIN,,,,,,,,,드라마|스포츠,학교 클럽|수영|기억상실|남성 주인공|주로 남성 캐스트|학교|비극|안티 히어로|귀여운 소년들의 귀여운 일상|주로 청소년 캐스트|가정 생활|갈색 피부|자살,"중학교 3학년 겨울에 수구 전국 대회에서 우승한 키요미즈 미나토는 집으로 돌아가던 중교통사고를 당해 한동안 혼수상태에 빠졌다.203일 후, 드디어 눈을 떴지만 그는 중학교 3년 동안의 기억을 잃어버린 상태였다.미나토는 수구도 그만둔 채 새로운 기분으로 야마나미 고등학교에 입학했지만, 하나의 약속을 계기로그곳에서 만난 동료들과 함께 수구를 다시 시작하게 되었다.하지만, 약소 수구부의 앞길에는 수많은 고난들이 기다리고 있었는데.",6,키요미즈 미나토(우에무라 유스케)|조지마 죠(키무라 스바루)|오카 에이타로(니시야마 코타로)|카와쿠보 치누(Lynn)|아미하마 슈고(사이토 소우마),마츠다 키요시,"MAPPA, 반다이 남코 아츠",니시다 세이시,
106,https://anilife.app/content/106?tab=info,반짝이는 프리☆채널,キラッとプリ☆チャン シーズン3,Kiratto Pri☆Chan Season 3,,,,,,,,,코미디|음악|일상,아이돌|여성 주인공|가상 세계|CGI|주로 아이 캐스트|주로 여성 캐스트|어린이|기억 조작|외계인|던전|버츄얼 유튜버|동물|댄싱|우주|시간 조작,"프리☆채널을 시작한 순간, 너도 아이돌이야!언제 어디서든 누구나 쉽게 볼 수 있는전 세계에서 가장 인기 있는 방송 시스템인 ‘프리☆채널’노래, 춤, 장기 등 자신이 좋아하는 것을 담은 영상을 만들어 방송하고팔로워와 좋아요를 모으면 누구든 스타가 될 수 있어요!각자의 개성을 가진 소녀들의 프리채널 도전기, 지금 바로 ON AIR!",6,모모야마 미라이(하야시 코코)|모에기 에모(쿠보타 미유)|아오바 린카(아츠기 나나미)|아카기 안나(세리자와 유우)|미도리카와 사라(와카이 토모키),하쿠시 이케하타,"타츠노코 프로덕션, TV 도쿄, 동우 애니메이션","가부시키가이샤 신소피아, 타카라토미",
123,https://anilife.app/content/123?tab=info,SK∞ 에스케이 에이트,SK∞ エスケーエイト,SK∞,,,,,,,,,액션|드라마|스포츠,스케이트 보드|남성 주인공|주로 남성 캐스트|앙상블 캐스트|파쿠르|귀여운 소년들의 귀여운 일상|때림 개그|도시|LGBTQ+ 주제|찾은 가족|BL|학교|인공 지능|집사|도박|오토바이,"“그때 내가 분명히 봤어. 이 오키나와에 흩날리는 흰 눈을....”스케이트보드를 무척 좋아하는 고교 2학년생, 레키가 빠져 있는 것... 그것은 ‘S’.‘S’는 폐쇄된 광산을 스케이트보드를 타고 내려오는 룰이 필요 없는 위험한 극비 레이스이다.그 중에서도 그곳에서 진행되는 ‘비프(결투)’에 많은 사람들이 열광하고 있었다.레키는 캐나다에서 귀국해 전학 온 전학생 ‘란가’를 ‘S’로 권유한다.스케이트보드를 타본 적이 없는 란가지만, ‘S’의 열광은 아랑곳하지 않고 란가를 휩쓸어 간다.얼굴 뒤 또다른 모습을 가진 개성 넘치는 스케이터들과 펼쳐지는 최고로 뜨거운 스케이트보드 레이스 배틀 X 무한한 가능성이 지금, 여기서 시작된다!",6,캰 레키(하타케나카 유)|하세가와 랑가(코바야시 치아키)|치넨 미야(나가츠카 타쿠마)|히가 히로미(미야케 켄타)|사쿠라야시키 카오루(미도리카와 히카루),나이카이 코오코,"본즈, 애니플렉스, 애니플렉스 미국, ABC 애니메이션, 무빅",나이카이 코오코,
117,https://anilife.app/content/117?tab=info,가극 소녀!!,かげきしょうじょ!!,Kageki Shoujo!!,,,,,,,,,드라마|일상,연기|주로 여성 캐스트|여성 주인공|학교|앙상블 캐스트|성장기|소녀 만화|전파|주로 청소년 캐스트|뮤지컬|쿠데레|성전환|귀여운 소녀들의 귀여운 일상|아이돌|일|LGBTQ+ 주제|낭꾼|쌍둥이|오타쿠 문화|유리,"미래의 스타를 목표로 빛나는 무대에 열정을 쏟는가극 소녀들의 근성 넘치는 청춘 스포츠 스토리!!다이쇼 시대에 창립된, 미혼 여성들만으로 이루어져 있으며아름답고 화려한 무대로 세대를 뛰어넘어 사람들의 마음을 매료시킨 '홍화 가극단'.그 극단의 인재를 양성하는 홍화 가극 음악 학교에치열한 경쟁을 뚫고 입학한 제100기생 학생들.오스칼 님이 되는 걸 꿈꾸는 천진난만한 178cm 장신의 소녀, 와타나베 사라사.꿈과 친구를 비롯해 모든 것에 무관심한 전 국민 아이돌 나라타 아이.하나부터 열까지 다 제각각인 소녀들의꿈과 갈등이 가득한 음악 학교 생활이 지금 막을 열었다!!",6,와타나베 사라사(치토모키 아야카)|나라타 아이(하나모리 유미리)|스기모토 사와(우에사카 스미레)|호시노 카오루(오오치 하)|야마다 아야코(사사키 리코),요네다 카즈히로,"파인 잼, 킹 레코드",사이키 쿠미코,
102,https://anilife.app/content/102?tab=info,일하는 세포!!,はたらく細胞!!,Hataraku Saibou!!,,,,,,,,,액션|코미디|SF,교육|앙상블 캐스트|의학|일|여성 주인공|소년 만화|남성 주인공|에피소딕|고어|인간화|때림 개그|주로 어른 캐스트|악마|CGI,"이것은 당신의 이야기이자, 당신 몸속의 이야기.사람의 세포 수는 약 37조개.세포들은 몸의 세계 중심에서, 오늘도 건강하게 쉴 새 없이 일하고있다.산소를 옮기는 적혈구, 세균과 싸우는 백혈구....그곳에는 알려지지 않은 세포들의 드라마가 있었다.새로운 세포, 새로운 세균이나 바이러스의 등장으로 인해 이야기는 새로운 전개로!의인화물의 새로운 정석! 대인기 코믹 애니메이션 ‘일하는 세포’ 2기 개막!",6,U-1146 핫케큐우(마에노 토모아키)|사이보우 이판(코바야시 유스케)|AE3803 셋케큐우(하나자와 카나)|내레이터(노토 마미코)|코우산큐(이치미치 마오),오구라 히로후미,"데이비드 프로덕션, 매직 캡슐, 애니플렉스, 코단샤, 애니플렉스 미국",시미즈 아카네,
110,https://anilife.app/content/110?tab=info,꿈속의 뮤,ミュークルドリーミー,Mewkledreamy,,,,,,,,,모험|코미디|판타지|마법 소녀,여성 주인공|어린이|에피소딕|주로 아이 캐스트|테니스|동물|주로 여성 캐스트|귀여운 소녀들의 귀여운 일상|앙상블 캐스트|변신|학교|학교 클럽|외계인,"연애와 우정, 마음의 상냥함을 그리는 귀여운 드리밍 스토리(恋や友情、心のやさしさを描くカワイイドリーミングストーリー)",6,뮤(토요사키 아이세)|페코(쿠보 유리카)|히나타 유메(무라카미 나츠미)|수우(칸모토 히사코)|이마이 코토코(사코무라 에리),사쿠라이 히로아키,"J.C. 스태프, A.C.G.T., TV 도쿄, ADK 이모션즈, 산리오",,
124,https://anilife.app/content/124?tab=info,아이카츠 플래닛!,アイカツプラネット！,Aikatsu Planet!,,,,,,,,,음악,아이돌|귀여운 소녀들의 귀여운 일상|여성 주인공|주로 여성 캐스트|카드 전투|패션|변신|어린이|학교,"되고 싶은 나에게, 미러 인☆사립 세레 고등학교에 다니는 고등학생 하나는어느날 갑자기 모습을 감춘 로즈를 대신해서아이카츠 플래닛!의 톱 아이돌 하나로서아이돌 활동을 하게 되었다.그렇지만 오토하 마오가 하나라는 사실은 모두에게 비밀이 였지만 나중에는 밝히게 된다.동경하는 세계 아이카츠 플래닛에서는누구나 엄청 귀여운 아이돌이 될 수 있다!하나가 된 마오는 스윙을 사용해 드레시아의 힘이 깃든 드레스를 입고라이벌들과 뜨거운 배틀 스테이지를 펼치게 된다!절친한 친구인 시오리, 모델로도 활약 중인 루리,멋진 선배 비트와 함께 진정한 톱 아이돌을 목표로 한다!되고 싶은 자신이 될 수 있는 곳!아이카츠 플래닛! 시작합니다!",6,타마키 루리(오구라 리오)|오토하 마오(다테 하나야)|우메코우지 쿄우코(나가오 네이네)|모토야 시오리(와타나베 리네)|츠키시로 아유미(미즈키),키무라 류이치,반다이 남코 픽처스,,
121,https://anilife.app/content/121?tab=info,월드 트리거 2기,ワールドトリガー 2ndシーズン,World Trigger 2nd Season,,,,,,,,,액션|SF,외계인|총|검술|소년 만화|배틀 로얄|앙상블 캐스트|남성 주인공|정치|주로 청소년 캐스트|이세계|군사|리얼 로봇,"미카도시에 다른 세계로의 게이트가 생겨서 침략자들인 근계민(네이버)의 습격을 받게 된다. 네이버들에게는 지구 상의 무기가 잘 통하지 않아 어려움에 처하게 되는데, 수수께끼의 조직이 돌연 나타나 네이버에 대항하였다.그 조직은 바로 '보더'라는 조직인데, 네이버들의 기술들을 연구하여 그 기술로 그들을 맞대응한 것이었다.4년 뒤에도 여전히 네이버들의 침략은 멈추고 있지 않았지만 보더의 활약 덕분에 도시는 안정을 되찾을 수 있었다. 그러던 어느 날 이 미카도시에 전학을 온 ""쿠가 유마""라는 소년과 정의감이 강한 소년 ""미쿠모 오사무""가 만나게 되는데......",6,미쿠모 오사무(카지 유우키)|쿠가 유마(무라나카 토모)|진 유이치(나카무라 유이치)|아마토리 치카(타무라 나오)|휴스(시마자키 노부나가),,"토에이 애니메이션, TV 아사히",아시하라 다이스케,
133,https://anilife.app/content/133?tab=info,러브 라이브! 슈퍼스타!! 1기,ラブライブ!スーパースター!!,Love Live! Superstar!!,,,,,,,,,음악|일상,아이돌|학교|뮤지컬|주로 여성 캐스트|여성 주인공|댄싱|학교 클럽|주로 청소년 캐스트|귀여운 소녀들의 귀여운 일상|앙상블 캐스트|음식|무녀,はじまれ！新しい「私」―(새로운 '나' 지금 시작!),6,시부야 카논(다테 사유리)|탕 케케(리유우)|아라시 치사토(미사키 나코)|헤안나 스미레(페이톤 나오미)|하즈키 렌(아오야마 나기사),쿄고쿠 나오히코,"선라이즈, 카도카와, 반다이 남코 아츠",야리츠 타코시,
107,https://anilife.app/content/107?tab=info,디지몬 어드벤처:,デジモンアドベンチャー:,Digimon Adventure:,,,,,,,,,액션|모험|판타지|SF,가상 세계|주로 아이 캐스트|천사|인간화|대형 괴수|변신|인공 지능|어린이,"서기 2020년. 네트워크는 이제 인간의 삶에 있어서 없어서는 안 될 존재가 되었다.하지만 인간들은 모른다. 네트워크 건너편에 있는 무한의 세계. 디지털 월드와 거기에 사는 디지몬들이 있다는 것을...수도권을 중심으로 대규모 네트워크 오류가 발생한다. 뒤죽박죽 깜빡이는 신호나 문자화되는 옥외 광고판. 대 사이버테러라고 보도하는 뉴스.주인공은 도쿄 근처의 타워 맨션에 사는 초등학교 5학년 야가미 타이치.주말에 여름 캠프를 준비하기 위해 혼자 집에 남아 있었지만 시부야에 나간 그의 어머니와 여동생 히카리가 정차할 수 없게 된 전철을 타고 있었다.엄마와 동생을 구하기 위해 시부야로 향한 타이치였지만, 역 홈에 들어가는 순간 이상한 현상이 발생, 타이치는 디지털 월드로!아이들은 디지몬들과 만나 미지의 모험에 지금 직면한다!",6,야가미 타이치(미포빈 유호코)|이시다 야마토(나미카와 다이스케)|타카이시 타케루(반 메구미)|야가미 히카리(와타다 미사키)|타케노우치 소라(시라이시 료코),,"토에이 애니메이션, 스튜디오 갤럽, 후지 TV, 요미우리 광고",혼고 아키요시,
108,https://anilife.app/content/108?tab=info,여신 기숙사의 사감군,女神寮の寮母くん。,Megami-ryou no Ryoubo-kun.,,,,,,,,,코미디|에치|로맨스|일상,누드|여성 하렘|주로 여성 캐스트|연령 차이|이성애|소년 만화|대학|남성 주인공|입양|사랑의 삼각형|츤데레|교육|쿠데레|코스프레|성전환|학교|치비,"집이 불타고, 아버지는 실종됐고, 모아놓은 돈도 없다.남자 중학생 나구모 코시는 도시를 떠돌다 길에서 쓰러진다.우연히 만난 여대생 와치 미네루의 제안으로그녀가 살고 있는 대학생 기숙사 '여신 기숙사'의 사감이 되었다.여자 기숙사에서 코시가 만난 사람들은남자에 대한 내성이 제로인 '초순정녀 사오토메 아테나' 부끄러울 땐 주먹이 나가는 '무투파 소녀 센쇼 키리야'남에게 코스프레 착장을 입히는 것을 제일 좋아하는 '폭주 코스플레이어 프레이'나태한 체육복 차림의 '전파녀 호즈미 세레네'수상한 실험을 반복하는 '매드 사이언티스트 와치 미네루'였다.모두가 하나둘씩 이상한 특징이 있는 문제 있는 미소녀들.사감으로서 그녀들과 함께 지내며 알아가는 동안에 강해지는 유대.연상 누나들에게 휘둘리는 코시의 일상이 시작된다!!",6,사오토메 아테나(나나세 아야카)|나구모 코우시(야마다 미스즈)|와치 미네루(타카하시 토모아키)|호즈미 세레네(야미치 유키)|센쇼 키리야(무라이 리사코),나카시게 토시스케,"애스리드, 라쿠온샤, 카도카와, 센타이 필름웍스",히노 유키보,
125,https://anilife.app/content/125?tab=info,야토가메짱 관찰일기 3기,八十亀ちゃんかんさつにっき 3さつめ,Yatogame-chan Kansatsu Nikki Sansatsume,,,,,,,,,코미디|일상,소년 만화|남성 주인공|학교|학교 클럽|언어 장벽|주로 아이 캐스트|주로 여성 캐스트|집사|귀여운 소녀들의 귀여운 일상|교육|에피소딕|메타|고양이귀 인간|풍자|주로 청소년 캐스트|풍자|교사,등록된 줄거리가 없습니다.,6,야토가메 모나카(토마츠 하루카)|진 카이토(이치키 미츠히로)|사사츠 얀나(코마츠 미카코)|타다쿠사 마이(와카이 토모키)|진 토시카(토죠 히사코),,"크리에이터즈 인 팩, 사에타",안도 마사키,
127,https://anilife.app/content/127?tab=info,배틀 애슬리테스 대운동회 ReSTART!,バトルアスリーテス 大運動会ReSTART!,Battle Athletess Daiundoukai: ReSTART!,,,,,,,,,액션|모험|SF|스포츠,여성 주인공|피트니스|철학|주로 여성 캐스트|학교|테러리즘|운동|우주|마이 톰보이,등록된 줄거리가 없습니다.,6,가렌슈타인 에바(이시카와 유이)|아케호시 카나타(모로호시 스미레)|웡 셸리(토미타 미유)|거틀랜드 리디아(키토 아카리)|크리스토퍼 야나(하야미 사오리),사사키 테케요시,"세븐, 울프스베인, AIC, 클락웍스, 닛폰 콜롬비아",,
120,https://anilife.app/content/120?tab=info,호리미야,ホリミヤ,Horimiya,,,,,,,,,코미디|로맨스|일상,학교|가정 생활|여성 주인공|남성 주인공|이성애|성장기|앙상블 캐스트|주로 청소년 캐스트|때림 개그|츤데레|에피소딕|소년 만화|사랑의 삼각형|왕따|마조히즘|사디즘|LGBTQ+ 주제|치비,"이어지고, 얽히면서 세계는 날마다 변해간다.호리 쿄코는 미인에다 성적도 우수해서 학교에서는 반의 중심인물이다.하지만 사실은 맞벌이를 하는 부모님을 대신해서 놀지도 않고집안일을 하고 터울이 많이 지는 남동생을 돌보는 가정적인 고등학생이다.어느 날, 다친 남동생, 소타를 모르는 남자가 집에 데려다준다.'호리 씨'남자의 부름에 이야기해 보니 사실 그는 호리와 같은 반이었는데반에서 인기 있는 여학생과 음침한 남학생이 만난다면?!연애, 우정.청춘이 가득한 저탄산 스쿨 라이프!...",6,호리 쿄코(토마츠 하루카)|미야무라 이즈미(우치야마 코키)|이시카와 토오루(야마시타 세이이치로)|요시카와 유키(코사카이 유리에)|아야사키 레미(이치미치 마오),이시하마 마사후미,"클로버웍스, 애니플렉스, 마이니치 방송, 스퀘어 에닉스, 무빅, 마이 시어터 D.D., 글로벌 솔루션즈, 미래 공방, 카네츠 투자",,
118,https://anilife.app/content/118?tab=info,미소년 탐정단,美少年探偵団,Bishounen Tanteidan,,,,,,,,,코미디|미스터리|SF,탐정|여성 주인공|학교 클럽|철학|음모|주로 남성 캐스트|펨보이|귀여운 소년들의 귀여운 일상|주로 아이 캐스트|성장기|학교|성전환|주로 청소년 캐스트|에피소딕|메타|성별 변환|천문학|도박|남성 하렘|군사|에이젠더|치비,10년 전에 단 한 번 봤던 별을 찾는 소녀 도지마 마유미.그녀는 '미소년 탐정단'의 사무소를 방문한다.그곳에 있던 것은 개성 풍부한 다섯 명의 미소년들.그들과의 만남으로 마유미의 10년 동안의 별 찾기는 크게 변하기 시작하는데.눈이 부실 정도로 아름다운 수수께끼 풀이 모험담 여기에 개막!,6,도지마 마유미(사카모토 마아야)|소토인 마나부(무라세 아유무)|후쿠로이 미치루(마스다 토시키)|사키구치 나가히로(사카 타이토)|아시카가 효우타(야노 쇼고),오오타니 하지메,"샤프트, 애니플렉스, 코단샤, 애니플렉스 미국",니시오 이신,
